Ward_name,School_name
Lower Morden,St John Fisher RC Primary School
Abbey,St Mary's Catholic Primary School
Ravensbury,St Teresa's Catholic Primary School
West Barnes,Sacred Heart Catholic Primary School
Cricket Green,St Peter and Paul Catholic Primary School
Village,Bishop Gilpin CofE Primary School
Trinity,Holy Trinity CofE Primary School
Village,St Matthew's CofE Primary School
Abbey,All Saints' CofE Primary School
Dundonald,Wimbledon Chase Primary School
Pollards Hill,William Morris Primary School
Longthornton,Stanford Primary School
Lavender Fields,Liberty Primary
Cannon Hill,Hillcross Primary School
Figge's Marsh,Gorringe Park Primary School
Cricket Green,Cranmer Primary School
Raynes Park,West Wimbledon Primary School
St. Helier,Abbotsbury Primary School
Wimbledon Park,Wimbledon Park Primary School
Colliers Wood,Singlegate Primary School
Pollards Hill,The Sherwood School
Figge's Marsh,St Mark's Primary School
Merton Park,Poplar Primary School
Cricket Green,Haslemere Primary School
Abbey,Pelham Primary School
St. Helier,Morden Primary School
Merton Park,Merton Park Primary School
Abbey,Merton Abbey Primary School
Longthornton,Lonesome Primary School
Graveney,Links Primary School
Cannon Hill,Joseph Hood Primary School
Raynes Park,Hollymount School
Lower Morden,Hatfeild Primary School
Graveney,Beecholme Primary School
Trinity,Garfield Primary School
Dundonald,Dundonald Primary School
Lavender Fields,Bond Primary School
Canbury,St Luke's CofE Primary School
Chessington South,Chessington Community College
Norbiton,St Joseph's Catholic Primary School
Alexandra,Our Lady Immaculate Catholic Primary School
Coombe Vale,Corpus Christi Catholic Primary School
Chessington South,St Mary's CofE (Aided) Primary School
Surbiton Hill,St Matthew's CofE Primary School
Canbury,St Paul's CofE Junior School
Chessington North and Hook,St Paul's CofE Primary School
Grove,St John's C of E Primary School
St. Mark's,St Andrew's and St Mark's CofE Junior School
Old Malden,Malden Parochial CofE Primary School
Berrylands,Christ Church CofE Primary School
Coombe Vale,Christ Church New Malden CofE Primary School
Chessington North and Hook,Lovelace Primary School
Norbiton,King's Oak Primary School
Old Malden,Malden Manor Primary and Nursery School
Alexandra,Grand Avenue Primary and Nursery School
Grove,King Athelstan Primary School
Canbury,Alexandra Infant School
St. Mark's,Maple Infants' School
Coombe Vale,Coombe Hill Junior School
Surbiton Hill,Tolworth Infant and Nursery School
Surbiton Hill,Tolworth Junior School
Coombe Hill,Robin Hood Primary School
Worcester Park,Green Lane Primary and Nursery School
Chessington South,Ellingham Primary School
Coombe Vale,Coombe Hill Infant School
Beverley,Burlington Infant and Nursery School
Beverley,Burlington Junior School
Cranford,The Cedars Primary School
Hanworth,Lindon Bennett School
Hounslow South,Oaklands School
Bedfont,Marjory Kinnon School
Bedfont,Marjory Kinnon School
Brentford,Gunnersbury Catholic School
Hounslow Heath,The Heathland School
Hounslow West,St Michael and St Martin RC Primary School
Turnham Green,"St Mary's Catholic Primary School ,Chiswick"
Isleworth,"St Mary's Catholic Primary School, Isleworth"
Hanworth Park,St Lawrence RC Primary School
Brentford,Our Lady and St John's Catholic Primary School
Syon,St Paul's CofE Primary School
Isleworth,The Blue School CofE Primary
Heston West,Berkeley Primary School
Cranford,Beavers Community Primary School
Hounslow Heath,Grove Road Primary School
Syon,The Smallberry Green Primary School
Feltham West,Edward Pauling Primary School
Isleworth,Ivybridge Primary School
Feltham North,Sparrow Farm Junior School
Isleworth,Worple Primary School
Heston Central,Wellington Primary School
Chiswick Riverside,Strand-on-the-Green Infant and Nursery School
Chiswick Riverside,Strand-on-the-Green Junior School
Heston Central,Springwell Infant and Nursery School
Heston Central,Springwell Junior School
Hounslow Central,Spring Grove Primary School
Feltham North,Sparrow Farm Infant and Nursery School
Feltham West,Southville Infant and Nursery School
Feltham West,Southville Junior School
Heston East,Norwood Green Infant and Nursery School
Syon,Marlborough Primary School
Brentford,Lionel Primary School
Syon,Isleworth Town Primary School
Hounslow Central,Hounslow Town Primary School
Hounslow West,Hounslow Heath Infant and Nursery School
Hounslow West,Hounslow Heath Junior School
Hanworth Park,Victoria Junior School
Chiswick Riverside,Grove Park Primary School
Feltham West,Feltham Hill Infant and Nursery School
Chiswick Homefields,Cavendish Primary School
Hanworth Park,Cardinal Road Infant and Nursery School
Turnham Green,Belmont Primary School
Charville,Hedgewood School
Brunel,Pield Heath House RC School
Brunel,Pield Heath House RC School
Northwood,RNIB Sunshine House School and Children's Home
Brunel,Meadow High School
Pinkwell,Harlington School
Hillingdon East,Abbotsfield School
Charville,Hayes Park School
Uxbridge South,St Andrew's CofE Primary School
Northwood Hills,Hillside Junior School
Northwood Hills,Hillside Infant School
Charville,Grange Park Infant and Nursery School
Charville,Grange Park Junior School
Hillingdon East,Oak Farm Junior School
Hillingdon East,Oak Farm Infant School
Manor,Sacred Heart Catholic Primary School
Uxbridge South,St Mary's Catholic Primary School
West Drayton,St Catherine Catholic Primary School
Hillingdon East,St Bernadette Catholic Primary School
Botwell,Botwell House Catholic Primary School
Cavendish,St Swithun Wells Catholic Primary School
Townfield,Dr Triplett's CofE Primary School
Northwood,Holy Trinity CofE Primary School
West Ruislip,Bishop Winnington-Ingram CofE Primary School
South Ruislip,Ruislip Gardens Primary School
Northwood,Frithwood Primary School
West Ruislip,Whiteheath Infant and Nursery School
Uxbridge South,Whitehall Infant School
Eastcote and East Ruislip,Warrender Primary School
Yiewsley,Rabbsfarm Primary School
Hillingdon East,Highfield Primary School
Uxbridge North,Hermitage Primary School
Barnhill,Yeading Infant and Nursery School
Barnhill,Yeading Junior School
Heathrow Villages,William Byrd School
West Ruislip,Whiteheath Junior School
Uxbridge South,Whitehall Junior School
West Drayton,West Drayton Primary School
Cavendish,Newnham Infant and Nursery School
Cavendish,Newnham Junior School
Townfield,Minet Nursery and Infant School
Townfield,Minet Junior School
Manor,Lady Bankes Infant School
Manor,Lady Bankes Junior School
Heathrow Villages,Heathrow Primary School
Heathrow Villages,Harmondsworth Primary School
Northwood Hills,Harlyn Primary School
Harefield,Harefield Infant School
Harefield,Harefield Junior School
Ickenham,Glebe Primary School
Cavendish,Field End Infant School
Cavendish,Field End Junior School
South Ruislip,Deanesfield Primary School
Eastcote and East Ruislip,Coteford Infant School
Yiewsley,Colham Manor Primary School
Ickenham,The Breakspear School
South Ruislip,Bourne Primary School
Upminster,Corbets Tey School
Upminster,Corbets Tey School
Pettits,Marshalls Park School
Upminster,Gaynes School
Squirrel's Heath,The Royal Liberty School
Hacton,Sanders School
Elm Park,St Alban's Catholic Primary School
Pettits,St Peter's Catholic Primary School
Upminster,St Joseph's Catholic Primary School
Heaton,St Ursula's Catholic Infant School
Heaton,St Ursula's Catholic Junior School
Mawneys,St Patrick's Catholic Primary School
South Hornchurch,La Salette Catholic Primary School
Hylands,St Mary's Catholic Primary School
Pettits,St Edward's Church of England Voluntary Aided Primary School
Havering Park,Dame Tipping Church of England Primary School
Heaton,Hilldene Primary School
Rainham and Wennington,Rainham Village Primary School
Harold Wood,Mead Primary School
Emerson Park,Nelmes Primary School
South Hornchurch,Newtons Primary School
Gooshays,Broadford Primary School
Hacton,Scotts Primary School
Rainham and Wennington,Brady Primary School
Hylands,Towers Junior School
Rainham and Wennington,Parsonage Farm Primary School
Hylands,Towers Infant School
Romford Town,Gidea Park Primary School
Squirrel's Heath,Squirrels Heath Infant School
Squirrel's Heath,Squirrels Heath Junior School
Pettits,Parklands Infant School
Pettits,Parklands Junior School
Mawneys,Crownfield Infant School
Mawneys,Crownfield Junior School
Havering Park,Clockhouse Primary School
Gooshays,Brookside Infant School
South Hornchurch,Whybridge Infant School
South Hornchurch,Whybridge Junior School
Hacton,Suttons Primary School
Elm Park,Scargill Infant School
Elm Park,Scargill Junior School
St. Andrew's,Langtons Infant School
Harold Wood,Harold Court Primary School
Hacton,Hacton Primary School
Romford Town,Hylands Primary School
St. Andrew's,Benhurst Primary School
Squirrel's Heath,Ardleigh Green Infant School
Squirrel's Heath,Ardleigh Green Junior School
Emerson Park,Harold Wood Primary School
Upminster,The James Oglethorpe Primary School
Hatch End,Shaftesbury High School
Wealdstone,The Sacred Heart Language College
Harrow on the Hill,Whitmore High School
Harrow on the Hill,St George's Primary School
Marlborough,St Joseph's Catholic Primary School
Headstone North,St John Fisher Catholic Primary School
Hatch End,St Teresa's Catholic Primary School and Nursery
Greenhill,St Anselm's Catholic Primary School
Kenton East,Glebe Primary School
West Harrow,Vaughan Primary School
Greenhill,Norbury School
Roxeth,Earlsmead Primary School
Pinner South,West Lodge Primary School
Harrow Weald,Weald Rise Primary School
Belmont,Stanburn Primary School
Rayners Lane,Roxbourne Primary School
Kenton East,Kenmore Park Infant and Nursery School
Kenton West,Elmgrove Primary School & Nursery
Edgware,Stag Lane Infant and Nursery School
Headstone North,Pinner Park Infant and Nursery School
Pinner South,Cannon Lane Primary School
West Harrow,Grange Primary School
Headstone North,Longfield Primary School
Edgware,Stag Lane Junior School
Kenton West,Priestmead Primary School and Nursery
Headstone North,Pinner Park Junior School
Kenton East,Kenmore Park Junior School
Wealdstone,Belmont School
Edgware,Camrose Primary With Nursery
Hatch End,Grimsdyke School
Marlborough,Marlborough Primary School
Harrow on the Hill,Roxeth Primary School
Roxbourne,"Newton Farm Nursery, Infant and Junior School"
White Hart Lane,Riverside School
West Green,The Brook School
Northumberland Park,Vale School
Northumberland Park,Vale School
Seven Sisters,Gladesmore Community School
Fortis Green,Fortismere School
Northumberland Park,Northumberland Park Community School
Crouch End,Highgate Wood Secondary School
Hornsey,Hornsey School for Girls
St. Ann's,St John Vianney RC Primary School
Crouch End,St Gildas' Catholic Junior School
Bounds Green,St Martin of Porres RC Primary School
Northumberland Park,St Francis de Sales RC Infant School
Crouch End,St Peter-in-Chains RC Infant School
St. Ann's,St Mary's Priory RC Infant School
Woodside,St Paul's RC Primary School
St. Ann's,St Mary's Priory RC Junior School
Seven Sisters,St Ignatius RC Primary School
Northumberland Park,St Francis de Sales RC Junior School
Fortis Green,Our Lady of Muswell Catholic Primary School
Hornsey,St Mary's CofE Primary School
Fortis Green,St James' CofE Primary School
Highgate,St Michael's CofE Voluntary Aided Primary School
Stroud Green,St Aidan's Voluntary Controlled Primary School
West Green,The Willow Primary School
Stroud Green,Weston Park Primary School
Seven Sisters,Crowland Primary School
Alexandra,Rhodes Avenue Primary School
Tottenham Hale,Ferry Lane Primary School
Northumberland Park,Lea Valley Primary School
Tottenham Green,Welbourne Primary School
Crouch End,Coleridge Primary School
Seven Sisters,Tiverton Primary School
St. Ann's,West Green Primary School
Seven Sisters,Stamford Hill Primary School
Harringay,South Harringay Infant School
Harringay,South Harringay Junior School
Hornsey,Rokesly Infant School
Hornsey,Rokesly Junior School
Fortis Green,Tetherdown Primary School
Fortis Green,Coldfall Primary School
Northumberland Park,Lancasterian Primary School
Highgate,Highgate Primary School
Tottenham Green,Earlsmead Primary School
White Hart Lane,The Devonshire Hill Nursery &  Primary School
Hornsey,Campsbourne Infant School
Hornsey,Campsbourne Junior School
Bounds Green,Bounds Green Infant School
Bounds Green,Bounds Green Junior School
West Green,Belmont Infant School
West Green,Belmont Junior School
Ponders End,Waverley School
Ponders End,Waverley School
Haselbury,West Lea School
Haselbury,West Lea School
Turkey Street,Durants School
Chase,St Ignatius College
Southgate Green,Broomfield School
Haselbury,The Latymer School
Ponders End,St Matthew's CofE Primary School
Palmers Green,St Anne's Catholic High School for Girls
Southbury,Bishop Stopford's School
Turkey Street,Lea Valley High School
Town,Chace Community School
Town,Enfield County School
Winchmore Hill,Winchmore School
Jubilee,Edmonton County School
Jubilee,Edmonton County School
Southgate,Wolfson Hillel Primary School
Edmonton Green,Latymer All Saints CofE Primary School
Southgate Green,Our Lady of Lourdes Catholic Primary School
Southgate Green,St Monica's RC Primary School
Town,St George's Catholic Primary School
Lower Edmonton,St Edmunds Catholic Primary School
Ponders End,St Mary's Catholic Primary School
Winchmore Hill,St Paul's CofE Primary School
Chase,St Michael's CofE Primary School
Enfield Highway,St James CofE Primary School
Upper Edmonton,St John and St James CofE Primary School
Turkey Street,Freezywater St George's CofE Primary School
Southgate,St Andrew's Southgate Primary School (CE)
Town,St Andrew's CofE Primary School
Chase,Forty Hill CofE Primary School
Chase,St John's CofE Primary School
Bowes,St Michael at Bowes CofE Junior School
Southgate,Eversley Primary School
Southbury,Bush Hill Park Primary School
Upper Edmonton,Raynham Primary School
Cockfosters,De Bohun Primary School
Bowes,Bowes Primary School
Chase,Worcesters Primary School
Haselbury,Churchfield Primary School
Enfield Highway,Eastfield Primary School
Highlands,Grange Park Primary School
Chase,Lavender Primary School
Ponders End,Southbury Primary School
Upper Edmonton,Wilbury Primary School
Ponders End,Alma Primary School
Jubilee,Houndsfield Primary School
Southgate,Walker Primary School
Bowes,Tottenhall Infant School
Southbury,Suffolks Primary School
Bush Hill Park,Raglan Infant School
Bush Hill Park,The Raglan Junior School
Enfield Lock,Prince of Wales Primary School
Highlands,Merryhills Primary School
Turkey Street,Honilands Primary School
Palmers Green,Hazelwood Infant School
Palmers Green,Hazelwood Junior School
Haselbury,Hazelbury Primary School
Cockfosters,Hadley Wood Primary School
Southbury,George Spicer Primary School
Southgate Green,Garfield Primary School
Jubilee,Galliard Primary School
Edmonton Green,Fleecefield Primary School
Bush Hill Park,Firs Farm Primary School
Lower Edmonton,Eldon Primary School
Town,Chase Side Primary School
Southbury,Carterhatch Infant School
Southbury,Carterhatch Junior School
Chase,Capel Manor Primary School
Elthorne,St Ann's School
Northolt West End,John Chilton School
Northolt West End,John Chilton School
North Greenford,Mandeville School
Cleveland,Castlebar School
Northolt Mandeville,Belvue School
Northolt Mandeville,Northolt High School
Hanger Hill,The Ellen Wilkinson School for Girls
Greenford Broadway,Greenford High School
Hobbayne,Brentside High School
Dormers Wells,Dormers Wells Infant School
Dormers Wells,Dormers Wells Junior School
North Greenford,Wood End Infant School
Greenford Broadway,The Cardinal Wiseman Catholic School
South Acton,Acton High School
Dormers Wells,Dormers Wells High School
Southall Broadway,Villiers High School
Greenford Green,Edward Betham Church of England Primary School
Acton Central,St Vincent's Catholic Primary School
Northolt West End,St Raphael's Catholic Primary School
Elthorne,St Joseph's Catholic Primary School
Hanger Hill,St Gregory's Catholic Primary School
Norwood Green,St Anselm's Catholic Primary School
Perivale,St John Fisher Catholic Primary School
Greenford Broadway,Our Lady of the Visitation Catholic Primary School
Northfield,Mount Carmel Catholic Primary School
Perivale,Vicar's Green Primary School
Cleveland,Hathaway Primary School
Southall Broadway,Tudor Primary School
Hanger Hill,Montpelier Primary School
Norwood Green,Three Bridges Primary School
Southall Green,Featherstone Primary and Nursery School
Norwood Green,Wolf Fields Primary School
Northolt West End,Viking Primary School
Greenford Broadway,Stanhope Primary School
Perivale,Perivale Primary School
Elthorne,Oaklands Primary School
Northfield,Little Ealing Primary School
Lady Margaret,Lady Margaret Primary School
Northolt Mandeville,Willow Tree Primary School
North Greenford,Horsenden Primary School
Norwood Green,Havelock Primary School and Nursery
North Greenford,Greenwood Primary School
Greenford Broadway,Gifford Primary School
Northfield,Fielding Primary School
Lady Margaret,Durdans Park Primary School
Acton Central,Derwentwater Primary School
Norwood Green,Dairy Meadow Primary School
Southall Green,Clifton Primary School
Southall Broadway,Blair Peach Primary School
Dormers Wells,Allenby Primary School
Southfield,Southfield Primary School
East Acton,John Perryn Primary School
Hobbayne,Hobbayne Primary School
Southall Broadway,Hambrough Primary School
Perivale,Selborne Primary School
Greenford Broadway,Ravenor Primary School
Dormers Wells,North Primary School
Cleveland,Drayton Green Primary School
Northolt West End,Downe Manor Primary School
Greenford Green,Coston Primary School
Southall Broadway,Beaconsfield Primary and Nursery School
Hobbayne,Mayfield Primary School
Acton Central,West Acton Primary School
Hanger Hill,West Twyford Primary School
Elthorne,St Mark's Primary School
Elthorne,St John's Primary School
Cleveland,North Ealing Primary School
Greenford Green,Oldfield Primary School
East Acton,East Acton Primary School
South Acton,Berrymede Infant School
South Acton,Berrymede Junior School
Upper Norwood,Priory School
Heathfield,Red Gates School
Kenley,St Nicholas School
Shirley,Beckmead School
Shirley,Beckmead School
Waddon,St Giles School
Waddon,St Giles School
Bensham Manor,Bensham Manor School
Selhurst,BRIT School for Performing Arts and Technology
Heathfield,Coloma Convent Girls' School
Purley,Thomas More Catholic School
Selsdon and Ballards,Selsdon Primary and Nursery School
Fairfield,St Mary's Catholic High School
Waddon,St Andrew's CofE Voluntary Aided High School
Fairfield,Archbishop Tenison's CofE High School
Upper Norwood,St Joseph's RC Infant School
Waddon,Regina Coeli Catholic Primary School
Purley,Margaret Roper Catholic Primary School
Upper Norwood,St Joseph's RC Junior School
Purley,Christ Church CofE Primary School (Purley)
Coulsdon East,Coulsdon CofE Primary School
Waddon,The Minster Nursery and Infant School
Waddon,The Minster Junior School
Heathfield,St John's CofE Primary School
South Norwood,All Saints CofE Primary School
Norbury,Norbury Manor Primary School
Upper Norwood,Rockmount Primary School
Selsdon and Ballards,Greenvale Primary School
Fairfield,Park Hill Infant School
Upper Norwood,Downsview Primary and Nursery School
Selhurst,Heavers Farm Primary School
Heathfield,Courtwood Primary School
Heathfield,Forestdale Primary School
Shirley,Orchard Way Primary School
Fairfield,Park Hill Junior School
Kenley,The Hayes Primary School
Coulsdon West,Smitham Primary School
Sanderstead,Gresham Primary School
Kenley,Beaumont Primary School
Kenley,Kenley Primary School
Addiscombe,Woodside Primary School and Children's Centre
Fieldway,Wolsey Infant School
Bensham Manor,Winterbourne Nursery and Infants' School
Bensham Manor,Winterbourne Junior Girls' School
Croham,St Peter's Primary School
Croham,Purley Oaks Primary School
Ashburton,Monks Orchard School
Waddon,Howard Primary School
Selhurst,Elmwood Infant School
Selhurst,Elmwood Junior School
South Norwood,Cypress Primary School
Thornton Heath,Beulah Junior School
West Wickham,Glebe School
Chislehurst,Marjorie McClure School
Chislehurst,Marjorie McClure School
Orpington,St Olave's and St Saviour's Grammar School
Penge and Cator,St Anthony's Roman Catholic Primary School
Cray Valley East,St Paul's Cray Church of England Primary School
Bickley,"St George's, Bickley, Church of England Primary School"
Cray Valley West,Poverest Primary School
Copers Cope,Clare House Primary School
Chislehurst,Edgebury Primary School
Crystal Palace,James Dixon Primary School
Darwin,Downe Primary School
Mottingham and Chislehurst North,Dorset Road Infant School
Chislehurst,Red Hill Primary School
Bromley Common and Keston,Southborough Primary School
Clock House,Churchfields Primary School
Copers Cope,Bromley Road Primary School
Queensbury,The Village School
Queensbury,The Village School
Queens Park,Manor School
Stonebridge,Phoenix Arch School
Queens Park,Islamia Primary School
Kensal Green,Newman Catholic College
Kilburn,The Kilburn Park School Foundation
Harlesden,St Joseph's Roman Catholic Primary School
Brondesbury Park,Malorees Junior School
Barnhill,Sinai Jewish Primary School
Welsh Harp,St Margaret Clitherow RC Primary School
Dollis Hill,Our Lady of Grace RC Infant and Nursery School
Wembley Central,St Joseph's RC Infant School
Stonebridge,Our Lady of Lourdes RC Primary School
Willesden Green,Convent of Jesus and Mary RC Infant School
Fryent,St Robert Southwell RC Primary School
Willesden Green,St Mary Magdalen's Catholic Junior School
Wembley Central,St Joseph RC Junior School
Dollis Hill,Our Lady of Grace Catholic Junior School
Harlesden,St Mary's CofE Primary School
Queens Park,Princess Frederica CofE Primary School
Kensal Green,John Keble CofE Primary School
Kilburn,Christ Church CofE Primary School
Dollis Hill,Braintcroft Primary School
Fryent,Fryent Primary School
Mapesbury,Mora Primary School
Fryent,Oliver Goldsmith Primary School
Queens Park,Salusbury Primary School
Barnhill,Chalkhill Primary School
Stonebridge,Mitchell Brook Primary School
Harlesden,Newfield Primary School
Stonebridge,The Stonebridge School
Willesden Green,Donnington Primary School
Wembley Central,Elsley Primary School
Welsh Harp,Wykeham Primary School
Sudbury,Barham Primary School
Queensbury,Roe Green Infant School
Queensbury,Roe Green Junior School
Preston,Preston Park Primary School
Wembley Central,Park Lane Primary School
Dudden Hill,Northview Junior and Infant School
Brondesbury Park,Malorees Infant School
Alperton,Lyon Park Primary School
Harlesden,Leopold Primary School
Fryent,Kingsbury Green Primary School
Kenton,Uxendon Manor Primary School
Kenton,Mount Stewart Infant School
Kenton,Mount Stewart Junior School
Harlesden,Harlesden Primary School
Kilburn,Carlton Vale Infant School
Northwick Park,Byron Court Primary School
Stonebridge,Brentfield Primary School
Mapesbury,Anson Primary School
Danson Park,Westbrooke School
Crayford,Shenstone School
Belvedere,Woodside School
Belvedere,Woodside School
St. Michael's,St Michael's East Wickham Church of England Voluntary Aided Primary School
Cray Meadows,St Peter Chanel Catholic Primary School
Thamesmead East,St John Fisher Catholic Primary School
Brampton,St Thomas More Catholic Primary School
Northumberland Heath,St Fidelis Catholic Primary School
Crayford,St Joseph's Catholic Primary School
Blackfen and Lamorbey,Our Lady of the Rosary Catholic Primary School
Falconwood and Welling,St Stephen's Catholic Primary School
Danson Park,Foster's Primary School
Brampton,Barrington Primary School
Cray Meadows,Royal Park Primary School
Thamesmead East,Castilion Primary School
Thamesmead East,Northwood Primary School
Thamesmead East,Jubilee Primary School
Sidcup,Chatsworth Infant School
Belvedere,Belvedere Infant School
Thamesmead East,Parkway Primary School
Longlands,Dulverton Primary School
North End,Slade Green Primary School
Longlands,Longlands Primary School
Sidcup,Birkbeck Primary School
Northumberland Heath,Belmont Primary School
Lesnes Abbey,Bedonwell Infant and Nursery School
Lesnes Abbey,Bedonwell Junior School
Christchurch,Upton Primary School
Falconwood and Welling,Hook Lane Primary School
Barnehurst,Gravel Hill Primary School
Danson Park,Danson Primary School
Danson Park,Crook Log Primary School
Golders Green,Mapledown School
Oakleigh,Oakleigh School & Acorn Assessment Centre
Hale,Northway School
East Finchley,Oak Lodge School
Hale,Mathilda Marks-Kennedy Jewish Primary School
East Finchley,Bishop Douglass School Finchley
Colindale,St James' Catholic High School
Totteridge,Finchley Catholic High School
West Finchley,St Michael's Catholic Grammar School
Hendon,St Mary's CofE High School
Brunswick Park,Osidge Primary School
Mill Hill,Dollis Junior School
Coppetts,Friern Barnet School
Hale,The Annunciation RC Junior School
Golders Green,Menorah Primary School
Edgware,Rosh Pinah Primary School
Colindale,Blessed Dominic Catholic Primary School
Oakleigh,Sacred Heart Roman Catholic Primary School
Hendon,St Joseph's Catholic Primary School
Finchley Church End,St Theresa's Catholic Primary School
Mill Hill,St Vincent's Catholic Primary School
Underhill,St Catherine's RC School
Childs Hill,St Agnes RC School
Woodhouse,Our Lady of Lourdes RC School
Burnt Oak,The Annunciation Catholic Infant School
Oakleigh,All Saints' CofE Primary School N20
East Barnet,Trent CofE Primary School
Totteridge,"St Andrew's CofE Voluntary Aided Primary School, Totteridge"
Mill Hill,St Paul's CofE Primary School NW7
Brunswick Park,St Paul's CofE Primary School N11
East Barnet,"St Mary's CofE Primary School, East Barnet"
Finchley Church End,St Mary's CofE Primary School
Totteridge,St John's CofE Primary School
Coppetts,St John's CofE Junior Mixed and Infant School
High Barnet,Monken Hadley CofE Primary School
East Finchley,Holy Trinity CofE Primary School
High Barnet,Christ Church Primary School
Childs Hill,All Saints' CofE Primary School NW2
East Barnet,Danegrove Primary School
Totteridge,Queenswell Junior School
Totteridge,Queenswell Infant & Nursery School
Hendon,Sunnyfields Primary School
Finchley Church End,Chalgrove Primary School
Underhill,Whitings Hill Primary School
Underhill,Underhill School
Woodhouse,Tudor Primary School
Totteridge,Woodridge Primary School
Woodhouse,Summerside Primary School
West Finchley,Northside Primary School
West Finchley,Moss Hall Infant School
West Finchley,Moss Hall Junior School
Brunswick Park,Monkfrith Primary School
West Finchley,Manorside Primary School
East Barnet,Livingstone Primary and Nursery School
Coppetts,Holly Park Primary School
Coppetts,Hollickwood Primary School
Burnt Oak,Goldbeaters Primary School
Garden Suburb,Garden Suburb Infant School
Garden Suburb,Garden Suburb Junior School
Mill Hill,Frith Manor Primary School
High Barnet,Foulds School
Hale,Fairway Primary School and Children's Centre
Edgware,Edgware Primary School
Mill Hill,Dollis Infant School
Hale,Deansbrook Infant School
High Barnet,Cromer Road Primary School
Hale,Courtland School
Coppetts,Coppetts Wood Primary School
Colindale,Colindale Primary School
Brunswick Park,Church Hill School
Childs Hill,Childs Hill School
Brunswick Park,Brunswick Park Primary and Nursery School
Garden Suburb,Brookland Infant and Nursery School
Garden Suburb,Brookland Junior School
Hendon,Bell Lane Primary School
Burnt Oak,Barnfield Primary School
Heath,All Saints Catholic School and Technology College
Whalebone,Robert Clack School
Longbridge,Eastbury Community School
Longbridge,Eastbury Community School
Eastbrook,Eastbrook School
Longbridge,"Barking Abbey School, A Specialist Sports and Humanities College"
Becontree,St Vincent's Catholic Primary School
Mayesbrook,The St Teresa Catholic Primary School
Goresbrook,St Peter's Catholic Primary School
Heath,St Joseph's Catholic Primary School
Abbey,St Joseph's Catholic Primary School
River,William Ford CofE Primary School
Abbey,St Margarets CofE Primary School
Village,John Perry Primary School
Becontree,Becontree Primary School
Mayesbrook,Roding Primary School
Valence,Henry Green Primary School
Heath,Five Elms Primary School
Alibon,Parsloes Primary School
Heath,William Bellamy Primary School
Chadwell Heath,Marks Gate Junior School
River,Village Infants' School
Valence,Valence Primary School
River,Thomas Arnold Primary School
Chadwell Heath,Warren Junior School
Village,The Leys Primary School
River,Marsh Green Primary School
Chadwell Heath,Marks Gate Infants' School
Valence,Grafton Primary School
Whalebone,Furze Infants' School
River,Beam Primary School
Eastbury,Ripple Primary School
Abbey,Northbury Primary School
Longbridge,Manor Infants' School/Manor Longbridge
Longbridge,Manor Junior School
Mayesbrook,Dorothy Barley Infants' School
Goresbrook,The James Cambell Primary School
Bayswater,College Park School
Bayswater,College Park School
Maida Vale,St Augustine's CofE High School
Church Street,Christ Church Bentinck CofE Primary School
Tachbrook,Westminster Cathedral RC Primary School
Vincent Square,St Vincent de Paul RC Primary School
Marylebone High Street,St Vincent's RC Primary School
Bayswater,St Stephen's CofE Primary School
Little Venice,St Saviour's CofE Primary School
Warwick,St Peter's Eaton Square CofE Primary School
Harrow Road,St Peter's CofE School
St. James's,"St Matthew's School, Westminster"
Westbourne,St Mary of the Angels RC Primary School
Bryanston and Dorset Square,St Mary's Bryanston Square CofE School
Westbourne,St Mary Magdalene CofE Primary School
Queen's Park,St Luke's CofE Primary School
Little Venice,St Joseph's RC Primary School
Lancaster Gate,St James & St John Church of England Primary School
West End,Soho Parish CofE Primary School
West End,St George's Hanover Square CofE Primary School
Churchill,St Gabriel's CofE Primary School
Bryanston and Dorset Square,St Edward's Catholic Primary School
St. James's,St Clement Danes CofE Primary School
Churchill,St Barnabas' CofE Primary School
Maida Vale,St Augustine's CofE Primary School
Westbourne,Our Lady of Dolours RC Primary School
Bryanston and Dorset Square,Hampden Gurney CofE Primary School
Vincent Square,Burdett-Coutts and Townshend Foundation CofE Primary School
West End,All Souls CofE Primary School
Queen's Park,Queen's Park Primary School
Abbey Road,Robinsfield Infant School
Lancaster Gate,Hallfield Primary School
Abbey Road,George Eliot Primary School
Maida Vale,Essendine Primary School
Westbourne,Edward Wilson Primary School
Little Venice,Paddington Green Primary School
Regent's Park,Barrow Hill Junior School
Earlsfield,Garratt Park School
Roehampton and Putney Heath,Paddock School
Roehampton and Putney Heath,Paddock School
West Putney,Greenmead School
Nightingale,Oak Lodge School
West Hill,Linden Lodge School
West Hill,Linden Lodge School
Tooting,Hillbrook School
Wandsworth Common,Ernest Bevin College
Bedford,St Anselm's Catholic Primary School
West Hill,Our Lady Queen of Heaven RC School
West Putney,"Sacred Heart Catholic Primary School, Roehampton"
East Putney,St Michael's CofE Primary School
Queenstown,St Mary's RC Voluntary Aided Primary School
Nightingale,Trinity St Mary's CofE Primary School
Thamesfield,St Mary's CofE Primary School
Fairfield,St Joseph's RC Primary School
Queenstown,St George's CofE Primary School
Fairfield,St Faith's CofE Primary School
Graveney,St Boniface RC Primary School
Fairfield,St Anne's CofE Primary School
Roehampton and Putney Heath,Roehampton CofE Primary School
Thamesfield,Our Lady of Victories Catholic Primary School
Nightingale,Holy Ghost Catholic Primary School
